id;siglaTipo;numero;ano;eco_score_neural
2620450;PRL;1;0;45.063366
2620449;SBT-A;1;0;44.243553
2620448;PAR;1;0;46.716766
2620447;SBT-A;1;0;44.711143
2620446;PAR;1;0;47.283672
2620445;PAR;1;0;47.158863
2620444;PAR;1;0;46.417263
2620443;PRL;1;0;45.063366
2620442;PAR;1;0;46.85012
2620441;PRL;1;0;43.505646
2620440;PRL;1;0;43.647213
2620439;PAR;1;0;44.82291
2620438;PRL;1;0;43.57734
2620434;PRL;1;0;44.33617
2620433;PRL;1;0;45.90372
2620432;PRL;1;0;45.351357
2620431;PRL;1;0;43.435364
2620430;REQ;5;2026;51.54319
2620429;PRL;1;0;44.685364
2620428;PRL;1;0;42.935925
2620427;PRL;1;0;43.036934
2620426;PRL;1;0;43.24783
2620425;PRL;1;0;44.964405
2620424;PRL;1;0;44.370934
2620423;PRL;1;0;45.47484
2620422;PRL;1;0;43.88451
2620421;PRL;1;0;43.776947
2620420;PRL;1;0;43.73555
2620419;PRL;1;0;43.762756
2620418;PRL;1;0;42.733635
2620417;PRL;1;0;43.568367
2620416;PRL;1;0;42.156876
2620415;PRL;1;0;43.18536
2620414;PRL;1;0;42.730026
2620413;PRL;1;0;43.524124
2620412;REQ;206;2026;62.80203
2620411;PRL;1;0;43.22175
2620410;PRL;1;0;45.323883
2620409;PRL;1;0;42.706802
2620408;PRL;1;0;42.567844
2620407;PRL;1;0;43.721222
2620406;PRL;1;0;44.22859
2620405;PRL;1;0;44.32765
2620404;REQ;108;2026;58.24282
2620403;PRL;1;0;43.971794
2620402;PRL;1;0;46.2567
2620401;PRL;1;0;42.769936
2620400;PRL;1;0;42.92205
2620399;PRL;1;0;42.447834
2620398;PRL;1;0;43.608604
2620397;PRL;1;0;42.16812
2620396;PRL;1;0;42.86336
2620395;RIC;1107;2026;65.95289
2620394;PRLP;1;0;56.382774
2620393;PRL;1;0;45.148148
2620392;INC;666;2026;60.563957
2620391;PRL;1;0;42.47474
2620390;PRL;1;0;43.343853
2620389;PRL;1;0;44.792374
2620388;PRL;1;0;42.988346
2620387;PRL;1;0;42.628395
2620386;PRL;1;0;42.195587
2620385;PRL;1;0;43.13862
2620384;PRL;1;0;43.401215
2620383;PRL;2;0;40.236946
2620382;PRL;1;0;42.72936
2620381;PRL;1;0;44.333035
2620380;PRL;1;0;42.651386
2620379;PRL;1;0;43.86744
2620378;PRL;1;0;43.132927
2620377;PRL;1;0;42.59343
2620890;PL;2149;2026;58.580036
2620889;PRL;1;0;57.54724
2620888;PRL;1;0;55.857
2620887;REQ;30;2026;59.712948
2620886;REQ;2588;2026;57.312332
2620885;PL;2148;2026;59.927345
2620884;INC;677;2026;57.17093
2620883;SIT;29;2026;61.495483
2620882;RIC;1185;2026;62.657677
2620343;PRL;1;0;44.08636
2620376;PRL;1;0;43.338703
2620375;PRL;1;0;44.60054
2620374;PRLP;4;0;59.421425
2620373;PRL;1;0;43.439407
2620372;PRL;1;0;42.35171
2620371;PRL;1;0;42.544884
2620370;PRL;1;0;44.645767
2620369;PRL;1;0;43.983807
2620368;PRL;1;0;44.941406
2620367;PRL;1;0;43.602665
2620366;PRL;1;0;44.531322
2620365;PRL;1;0;43.355743
2620364;PRL;1;0;43.44108
2620363;PRL;1;0;43.483173
2620362;PRL;1;0;42.62277
2620361;PRL;1;0;43.737198
2620360;PRL;1;0;43.321114
2620359;PRL;1;0;43.031353
2620358;PRL;1;0;44.34307
2620357;PRL;1;0;43.254967
2620356;PRL;1;0;45.865337
2620355;PRL;1;0;42.911846
2620354;SBT-A;1;0;43.252804
2620353;PAR;1;0;45.528786
2620352;PRL;1;0;43.89304
2620351;PRL;1;0;42.45993
2620350;SBT;1;0;62.66936
2620349;PRL;1;0;44.96038
2620348;PRL;1;0;43.62968
2620347;PRL;1;0;43.94317
2620346;PRL;1;0;43.42471
2620345;PRL;1;0;43.181892
2620344;PRL;1;0;43.19771
2620342;PRL;1;0;42.42267
2620341;PRL;1;0;45.29309
2620340;PRL;1;0;44.35613
2620339;PRL;1;0;44.53922
2620338;PRL;1;0;42.59229
2620337;PRL;1;0;42.73581
2620336;PRL;1;0;43.539776
